id	refs	voice	narration	image_prompt	motion_prompt
01	-	narrator	Há muito, muito tempo, Deus criou um mundo lindo, cheio de árvores, rios e animais felizes.	Wide aerial establishing shot of a beautiful lush green ancient world at golden hour, rolling hills, sparkling rivers, forests full of happy animals, birds in a clear blue sky, peaceful and vibrant	Slow cinematic aerial drift over the green world, birds gliding, rivers sparkling, leaves and grass swaying gently in a warm breeze, calm establishing motion
02	-	narrator	Mas, com o tempo, as pessoas se esqueceram de Deus e começaram a fazer muitas coisas erradas.	A crowd of ancient people in a dusty town turning their backs on each other, arguing and frowning, gray clouds gathering above, muted colors, a sad heavy mood but still gentle and family-friendly	The gray clouds slowly gather and darken above the town, people turn away from each other, dust drifts, a slow somber push-in, gentle and not scary
03	-	narrator	As pessoas brigavam, mentiam e não se importavam mais umas com as outras, esquecendo o amor de Deus.	Ancient townspeople in a dusty marketplace turning away from each other selfishly, frowning and arguing, a child looking sad and ignored, gray overcast sky, muted colors, gentle melancholic family-friendly mood	The people turn their backs and bicker, the lonely child lowers their head, dust and gray clouds drift slowly, a somber gentle push-in, not scary
04	-	narrator	Isso deixou o coração de Deus muito triste ao ver o mundo tão longe do amor.	A vast cloudy sky with a single soft warm beam of light breaking through, looking down over the troubled distant world below, a gentle melancholic sacred atmosphere, soft glow	A soft warm beam of light slowly breaks through the gray clouds and reaches toward the world below, clouds drift gently, a tender sacred slow motion
05	noe	narrator	Mas havia um homem bom chamado Noé, que amava a Deus e fazia sempre o que era certo.	Noah from the reference, a kind elderly man with a long white beard, standing peacefully on a green hill at golden hour, hands resting on his wooden staff, a warm gentle smile, soft sunlight around him	Noah stands calmly on the hill, his beard and robe moving softly in the warm breeze, he looks up with a peaceful smile, gentle sunlight glows, slow cinematic push-in
06	noe,esposa	narrator	Noé vivia com sua esposa e seus três filhos, uma família simples e cheia de fé.	Noah from the reference standing beside his kind elderly wife from the reference and their three grown sons, a humble loving family in earth-toned robes in front of a simple stone house, warm morning light, happy expressions	The family smiles warmly together, the sons wave, the wife rests a hand on Noah's arm, warm morning light, soft natural motion, gentle and loving
07	noe	narrator	Mesmo num mundo tão diferente, Noé ensinava seus filhos a orar e a confiar em Deus todos os dias.	Noah from the reference gently teaching his three grown sons, hands raised in a calm prayer gesture, sitting together by a warm evening fire outside a simple stone house, soft golden light, loving peaceful family moment	Noah speaks warmly and gestures in prayer, his sons listen and nod, the fire crackles and glows, warm light flickers on their faces, tender gentle motion
08	-	narrator	Um dia, Deus decidiu enviar uma grande chuva para limpar a Terra, mas queria salvar Noé.	A dramatic but gentle sky with soft radiant light above a green landscape, a glowing protective aura over a small distant house, warm hopeful golden rays mixed with soft gray clouds	Warm golden light rays gently spread across the sky and shine protectively over the distant little house, soft clouds drift, hopeful slow motion
09	noe	deus	Noé, construa uma arca enorme de madeira. Vou enviar uma grande chuva, mas você e sua família estarão a salvo.	Noah from the reference kneeling and looking up in awe toward a warm radiant beam of heavenly light coming through the clouds, golden rays around him, a sacred peaceful glowing atmosphere on a hilltop	Noah kneels and looks up in wonder as warm golden light shines down on him, the light gently pulses brighter, his robe and beard move softly, sacred reverent slow motion
10	noe	narrator	Deus explicou tudo: o tamanho da arca, as janelas, os andares e uma grande porta na lateral.	Noah from the reference holding a simple wooden plan and looking thoughtfully at a glowing diagram of a huge wooden ark floating in soft light beside him, warm workshop atmosphere, gentle wonder	Noah studies the glowing ark diagram, the lines of the plan softly shimmer and rotate, he nods thoughtfully, warm light flickers, calm focused motion
11	noe	narrator	Então Noé e seus filhos começaram a trabalhar, cortando madeira e martelando dia após dia.	Noah from the reference and his three sons busily building the wooden frame of a huge ark, sawing and hammering wooden planks, sawdust in warm sunlight, an early ark skeleton on a green field, cheerful hard work	Noah and his sons hammer and saw the wooden planks, sawdust floats in the warm sunlight, the ark frame stands tall behind them, busy cheerful working motion
12	noe	narrator	Não era um barco pequeno: a arca seria do tamanho de um navio gigante, e levaria muitos anos para ficar pronta.	Noah from the reference standing small beside the enormous half-built wooden ark towering over him, thick wooden beams and scaffolding, sawdust and tools around, bright sunny sky, a sense of huge scale and patient work	The camera slowly tilts up the towering half-built ark revealing its giant scale, tiny Noah looks up determined, dust drifts in sunlight, awe-filled steady motion
13	noe	narrator	As pessoas ao redor não quiseram saber de Deus e continuaram vivendo do mesmo jeito. Mas Noé continuou obedecendo.	A group of townspeople walking past busy and indifferent, ignoring Noah from the reference who calmly keeps building the large wooden ark, sunny clear sky, gentle family-friendly cartoon tone	The townspeople walk past without paying attention while Noah calmly keeps hammering without stopping, a warm breeze blows, gentle steady motion
14	noe	narrator	Mas Noé avisava com amor: voltem para Deus, Ele ama vocês! Ainda assim, poucos quiseram ouvir.	Noah from the reference standing on a wooden plank speaking kindly with an open hand to a small group of passing townspeople, some pausing to listen while others walk away, warm sunlight, hopeful gentle mood	Noah extends his hand and speaks warmly, a few people pause thoughtfully while others shrug and walk away, his robe moves in the breeze, gentle hopeful motion
15	noe	narrator	Os anos passaram, e Noé continuou fiel, confiando em Deus mesmo sem ver nenhuma nuvem de chuva.	Noah from the reference, now with an even longer white beard, faithfully working on the nearly finished massive wooden ark under a clear sunny sky, determined peaceful expression, warm golden light	Noah steadily works on the towering ark, wiping his brow with a peaceful smile, warm sunlight glows on the wood, a gentle breeze, calm faithful motion
16	noe	narrator	Finalmente, a arca ficou pronta: enorme, alta como uma montanha de madeira, com uma grande porta.	Wide shot of the huge finished wooden ark towering on a green field, tiny Noah from the reference standing proudly in front of the enormous boat with its big side door, dramatic warm golden hour light, awe and accomplishment	Slow camera tilt up revealing the full towering height of the finished ark, tiny Noah looks up proudly, warm golden light, banners of dust drift, awe-filled motion
17	-	narrator	Então Deus mandou chamar os animais, dois de cada espécie, um casal de cada um.	Pairs of friendly cartoon animals approaching from a green landscape toward the huge distant ark, elephants, giraffes, lions, rabbits and birds walking two by two, warm sunny day, cheerful and adorable	Pairs of cute animals walk happily two by two across the field toward the ark, ears and tails wiggling, birds flying above, cheerful bouncy gentle motion
18	-	narrator	De toda parte vieram leões, elefantes, girafas, coelhinhos e passarinhos, todos em duplas.	A joyful long line of adorable cartoon animal couples of all kinds walking together toward the ark, lions, elephants, giraffes, zebras, rabbits, doves, colorful and warm, sunny cheerful scene	The long parade of animal couples walks cheerfully toward the ark, each pair stepping in rhythm, tails swishing and ears bouncing, sunny happy lively motion
19	-	narrator	Havia bichos de todo tipo: grandes e pequenos, que andavam, voavam e rastejavam, todos juntos em paz.	A delightful variety of cute cartoon animals gathered peacefully together near the ark, big elephants and tiny mice, colorful birds flying, turtles and frogs, butterflies, all calm and friendly, warm sunny scene	The many animals move peacefully together, birds flutter and land, little creatures hop and waddle, butterflies drift, a lively but gentle harmonious motion
