id	refs	voice	narration	image_prompt	motion_prompt
01	-	narrator	Há muito, muito tempo, num reino enorme e dourado chamado Babilônia, vivia um grande povo sob o comando de um rei muito poderoso.	Wide aerial establishing shot of a vast golden ancient Babylonian kingdom at sunrise, grand palaces and blue-and-gold ziggurats, lush hanging gardens, palm trees, a sparkling river winding through, peaceful streets far below, warm majestic atmosphere	Slow cinematic aerial drift over the golden kingdom at sunrise, banners fluttering, soft mist rising from the river, birds gliding across the warm sky, grand establishing motion
02	rei	narrator	O rei se chamava Dario. Ele governava com justiça, mas precisava de muitos homens sábios para cuidar de todo o seu reino.	King Darius (from the reference) seated on a grand golden throne in a majestic palace hall with tall columns and purple banners, holding his royal scepter, warm dignified smile, sunlight streaming through high windows	King Darius shifts on his throne and gives a warm regal smile, purple banners sway gently, dust motes float in the sunbeams, slow gentle push-in
03	rei	narrator	Por isso, o rei escolheu cento e vinte líderes e colocou três chefes sábios para cuidar de todos eles.	King Darius (from the reference) standing before a long line of many royal governors and officials in a grand throne hall, gesturing as he appoints them, golden banners and columns, organized respectful court atmosphere	The king gestures along the line of governors as he appoints them, the officials bow in turn, banners sway, warm light shifts, slow stately motion
04	daniel	narrator	E entre todos esses homens importantes, havia um jovem muito especial, que era diferente de todos os outros.	Daniel (from the reference) standing among a group of older royal advisors in an ornate palace hall, a calm kind presence that makes him stand out, warm light highlighting him while the others stand in cooler muted tones	Daniel stands calm and kind as the advisors murmur around him, a soft warm light gently highlights him, robes sway, slow gentle push-in
05	daniel	narrator	Seu nome era Daniel. Ele era bondoso, honesto e amava a Deus de todo o seu coração e de toda a sua força.	Warm close portrait of Daniel (from the reference) with a gentle honest smile, one hand over his heart, soft golden light on his face, a peaceful palace garden with palm trees behind him	Daniel smiles warmly and places his hand over his heart, leaves sway softly behind him, golden light flickers gently, slow tender push-in
06	daniel,rei	narrator	Daniel trabalhava com tanta sabedoria e tanta verdade que o rei e todo o palácio confiavam muito nele.	Daniel (from the reference) attentively reviewing a scroll at a desk while King Darius (from the reference) looks on with trust and approval, warm candlelit palace office, friendly respectful atmosphere	Daniel explains from the scroll and the king nods with approval, candlelight flickers warmly, robes shift slightly, gentle natural motion
07	daniel,rei	narrator	O rei logo percebeu que Daniel era o melhor de todos. Havia nele algo especial que brilhava mais que os outros.	King Darius (from the reference) looking admiringly at Daniel (from the reference) who stands with a soft warm glow around him among other officials, the king impressed, golden palace hall, the others slightly in shadow	The king looks admiringly at Daniel, who softly glows brighter than the others, the king smiles and nods, gentle warm light pulses, slow push-in
08	daniel,rei	narrator	Então o rei teve uma ideia: ele decidiu colocar Daniel como o chefe maior de todo o reino.	King Darius (from the reference) proudly placing a hand on Daniel's (from the reference) shoulder before the royal court, presenting him as chief over the kingdom, golden light, smiling respectful crowd, celebratory warm mood	The king gestures proudly toward Daniel before the court, people smile and nod, banners sway, warm golden light, gentle celebratory motion
09	daniel	narrator	Mas o verdadeiro segredo da força de Daniel era um só: três vezes por dia, ele parava tudo para orar a Deus.	Daniel (from the reference) kneeling in prayer by an open window at sunset, soft golden light pouring in, hands together and eyes closed peacefully, the distant city of Jerusalem faintly glowing on the horizon, serene sacred mood	Daniel kneels and closes his eyes in peaceful prayer, golden sunset light slowly pours through the window, dust motes drift, a soft sacred glow grows, slow tender motion
10	oficiais	narrator	Quando os outros líderes viram que Daniel seria o chefe de todos, ficaram com muita, muita inveja dele.	Two jealous royal officials (from the reference) peeking from behind a palace column, frowning and whispering with envy as they watch, sly scheming faces, cartoonish family-friendly villain look, cool muted lighting	The two officials lean out from behind the column, whispering and frowning with envy, eyes narrowing, shadows shift slightly, slow tense but gentle push-in
