id	act	shot	refs	voice	text	hold	image_prompt	motion_prompt	vfx	sfx	transition
01	gancho	extreme-wide	-	narrator	No começo, não havia terra, nem mar, nem luz. Só um silêncio enorme esperava.	2.7	Absolute primordial void of deep black and indigo emptiness, faint swirling mist with no horizon, tiny luminous dust motes drifting in darkness, vast cinematic scale, mysterious and reverent family-friendly atmosphere	Camera drifts slowly through endless dark mist as faint luminous dust motes float past, the void feels immense and quiet	soft luminous dust motes and subtle nebula wisps	deep quiet void ambience, soft distant resonance	dip-to-black
02	gancho	aerial	-	narrator	A terra estava vazia e sem forma. Escuridão cobria as águas profundas.	1.7	Aerial view over a dark formless ocean under a black sky, heavy fog hugging the water, no land visible, cold blue-black color script, layered mist in foreground midground and background	Camera glides over the dark water surface as fog rolls and the ocean barely moves beneath	volumetric fog banks over black water	deep water rumble, cold wind hush	cut
03	vazio	detail	-	narrator	Mas o Espírito de Deus pairava sobre aquelas águas. Algo grande ia começar.	1.3	Close detail of dark water surface with a soft golden shimmer hovering above the ripples, no human figure, reverent glow reflecting on black waves, intimate sacred framing	Soft golden shimmer drifts above the water while tiny ripples expand outward, light gently brightens	soft golden divine shimmer over water	soft wind over water, gentle resonant tone	light-flash
04	luz	low-angle	-	deus	Haja luz!	2.4	Low-angle view looking upward as a brilliant warm white light bursts through absolute darkness, radiant beams cutting the void, no human figure for God, awe-filled cinematic composition	A sudden radiant light bloom explodes upward through darkness, beams expand and illuminate swirling mist	explosive volumetric light bloom and expanding god-rays	powerful light whoosh, bright resonant chord, silence after	cut
05	luz	extreme-wide	-	narrator	E a luz apareceu! Pela primeira vez, o escuro encontrou o claro.	1.7	Extreme-wide split of creation: half radiant golden light and half deep shadow over a dark ocean, soft mist glowing at the boundary, monumental scale and wonder	Camera pulls back as the light half expands across the dark ocean, mist glows along the dividing edge	expanding light frontier and glowing mist particles	soft light shimmer, distant water, warm tone swell	cut
06	luz	wide	-	deus	A luz é boa. Separe-se a luz das trevas.	1.9	Wide cosmic view of day and night dividing across the primordial waters, warm gold on one side and deep indigo on the other, soft cloud edges forming, reverent color contrast	The golden day side and indigo night side slowly separate across the waters, soft clouds form along the edge	soft separating light bands and cloud edge glow	gentle cosmic wind, soft water, warm presence tone	cut
07	luz	medium	-	narrator	Deus chamou a luz de dia. E chamou a escuridão de noite. Foi o primeiro dia.	1.7	Medium cinematic view of a first soft sunrise over dark waters, warm amber horizon meeting cool night sky, gentle ripples catching first light, hopeful and calm	Soft sunrise light rises over the water while night sky retreats, ripples catch amber highlights	soft sunrise bloom and sparkling water highlights	morning water lapping, soft birds-to-be silence, warm pad	match-cut
08	ceu	aerial	-	deus	Haja um firmamento no meio das águas.	2.0	Aerial view of dark waters beginning to part vertically as a soft blue sky vault forms between upper and lower waters, luminous mist streams, majestic family-friendly creation scale	Camera rises as waters part and a soft blue firmament vault expands between them, mist streams upward and downward	parting water sheets and forming sky vault glow	rising wind, water separation roar softened, airy tone	cut
09	ceu	extreme-wide	-	narrator	Então Deus fez o céu. Águas embaixo. Águas lá em cima. Um espaço aberto no meio.	0.9	Extreme-wide newly formed sky between layered waters, soft blue atmosphere with glowing cloud bands above and deep sea below, vast depth and layered weather	Cloud bands drift apart as the new sky opens, camera slowly pans across the fresh atmosphere	volumetric cloud bands and atmospheric light shafts	open air wind, distant water, soft thunderless rumble	cut
10	ceu	wide	-	deus	Chame-se esse firmamento de céu.	1.7	Wide shot of a clear newborn sky glowing soft turquoise over a calm dark sea, thin luminous clouds stretching like brushstrokes, peaceful grandeur	Thin luminous clouds stretch across the turquoise sky while the camera gently tilts upward	soft cloud luminescence and sky color bloom	airy breeze, calm sea, soft celestial tone	cut
