id	refs	voice	narration	image_prompt	motion_prompt
01	-	narrator	[warm] No princípio, Deus criou os céus e a terra. E numa terra nova e cheia de vida, Ele preparou um jardim lindo, chamado Éden.	Wide establishing shot of the beautiful lush Garden of Eden at golden sunrise, green trees heavy with fruit, colorful flowers, a sparkling river winding through, gentle waterfalls, peaceful animals in the distance, warm paradise atmosphere	Slow cinematic aerial drift over the lush garden at sunrise, leaves and flowers swaying, river sparkling, birds gliding, gentle establishing motion
02	adao	narrator	[calm] Então Deus formou o homem do pó da terra, e soprou nele o fôlego de vida. E o homem começou a viver. O seu nome era Adão.	A warm radiant formless divine golden light with no face gently glowing over soft earth as Adam (the young man from the reference) awakens and sits up for the first time on the ground of a lush garden, dawn light, wondrous peaceful mood, pure holy glow, no face on the light	The divine golden light glows and pulses gently as Adam slowly awakens, sits up and looks around in wonder, dawn light grows warmer, slow tender sacred motion
03	adao	narrator	[warm] Deus colocou Adão no jardim do Éden, um lugar cheio de árvores, rios e frutas, para cuidar dele com carinho.	Adam (from the reference) standing in wonder in the lush Garden of Eden, tall fruit trees, flowers and a clear river around him, gentle animals nearby, warm golden light, peaceful paradise	Adam turns slowly looking around in wonder, leaves sway, river sparkles, animals move gently, warm light shifts, slow gentle push-in
04	adao	deus	[calm] Adão, você pode comer de todas as árvores do jardim. Mas não coma da árvore do conhecimento do bem e do mal; porque, no dia em que comer dela, você vai morrer.	Adam (from the reference) standing respectfully before a warm radiant formless divine golden light with no face near a special fruit tree in the middle of the garden, soft reverent glow, sacred calm mood, no face on the light	The divine light glows gently as Adam listens respectfully, leaves sway softly near the fruit tree, reverent calm motion, slow push-in
05	adao	narrator	[playful] Depois, Deus trouxe todos os animais até Adão. E Adão deu um nome para cada um: o leão, o elefante, o passarinho. Cada bichinho ganhou o seu nome.	Adam (from the reference) happily naming the animals in the garden, a friendly lion, an elephant, birds and rabbits gathered around him, warm playful cheerful atmosphere, lush green garden	Adam gestures happily as the animals gather and move around him, the lion nods, birds flutter, cheerful playful motion
06	adao	deus	[warm] Não é bom que o homem viva sozinho. Vou fazer para ele uma companheira, uma ajudadora, para ficar do seu lado.	Adam (from the reference) looking a little lonely among the animals while a warm radiant formless divine golden light with no face glows gently beside him, tender caring mood, lush garden, no face on the light	Adam looks around a little lonely as the gentle divine light pulses warmly beside him, leaves sway, tender slow motion
07	adao,eva	narrator	[calm] Então Deus fez Adão dormir bem profundo. Tirou uma costela do seu lado e, com ela, formou uma mulher.	Adam (from the reference) lying peacefully asleep on the soft grass as a soft warm divine golden glow gently forms the gentle silhouette of a woman beside him, sacred gentle miracle, lush garden at dusk, tender mood, no face on the light	Adam sleeps peacefully as the soft divine glow gently forms a woman's silhouette beside him, warm glow grows, slow sacred motion
08	adao,eva	adao	[happy] Esta, sim! Agora sim! Ossos dos meus ossos! Ela será chamada mulher, porque foi tirada do homem.	Adam (from the reference) joyfully meeting Eve (from the reference) for the first time in the garden, both smiling warmly at each other, hands gently reaching, soft golden light, happy tender moment, lush Eden	Adam and Eve smile and reach toward each other joyfully, soft golden light glows warmer, leaves sway, tender happy motion
09	adao,eva	narrator	[warm] E assim Adão e Eva viviam felizes no jardim, juntinhos, sem nenhuma vergonha e sem nenhum medo, amigos de Deus.	Adam (from the reference) and Eve (from the reference) walking happily together through the lush Garden of Eden, smiling, surrounded by flowers, fruit trees and gentle animals, warm golden peaceful paradise	Adam and Eve walk happily together through the garden, flowers and animals around them, warm light shifts, gentle joyful motion
10	eva,serpente	narrator	[softly] Mas havia no jardim uma serpente, o mais astuto de todos os animais. E ela era uma enganadora. Chegou bem pertinho de Eva.	The cunning serpent (from reference image 2) slyly approaching Eve (from reference image 1) near a fruit tree in the garden, the serpent coiled on a branch with a sneaky look, Eve curious, cooler sly lighting on the serpent, warm on Eve	The sly serpent slowly slithers closer to Eve on the branch with a sneaky look, Eve turns curiously, cool light creeps in, slow tense motion
