id	act	shot	refs	voice	text	hold	image_prompt	motion_prompt	vfx	sfx	transition
01	gancho	aerial	-	narrator	Lá no mar profundo, um peixe enorme nadava em silêncio. Mas esta história começa bem longe da água.	1.4	Vast deep blue ocean under a dramatic dawn sky, a colossal gentle whale silhouette gliding beneath the surface, volumetric sun rays piercing the water, layered waves in foreground midground and background, cinematic scale and wonder	The camera drifts slowly over the ocean surface as the whale silhouette glides underneath, soft light rays shift through the water, waves roll with natural secondary motion	volumetric god-rays through water and soft bioluminescent particles	deep ocean ambience, distant whale call, gentle surface waves	water-wipe
02	mundo	extreme-wide	jonas	narrator	Jonas morava numa terra quente e seca. Ele gostava de paz, de sombra e de caminhos conhecidos.	1.0	Sunbaked ancient Hebrew hillside village at golden hour, Jonah standing alone on a dusty path with his satchel, olive trees and stone houses in midground, warm desert mountains far away, strong silhouette and depth	Gentle tracking shot follows Jonah walking the dusty path, cloth and satchel sway naturally, heat haze shimmers in the distance	-	dry wind, distant birds, soft footsteps on dust	cut
03	mundo	medium	jonas	jonas	Se Deus me deixar quieto por aqui, eu fico bem. Eu gosto do meu lugar e da minha rotina.	0.8	Medium shot of Jonah resting under an olive tree, soft smile turning slightly stubborn, satchel beside him, warm afternoon light on his face, village rooftops softly blurred behind him	Jonah settles against the tree, looks toward the village with a small stubborn smile, leaves rustle gently around him	-	olive leaves rustling, distant village chatter, soft cloth movement	cut
04	chamado	close-up	jonas	narrator	Mas um dia a voz de Deus chegou até ele. Não era um grito. Era um chamado claro e firme.	0.6	Close-up of Jonah looking upward with sudden alertness, warm volumetric light falling across his face and shoulders, olive leaves glowing at the edges, intimate emotional framing	Jonah lifts his eyes as warm light blooms across his face, his expression shifts from calm to startled attention	soft volumetric divine light bloom across the frame	wind hush, soft resonant tone, cloth shift	light-flash
05	chamado	low-angle	jonas	deus	Jonas, levante-se. Vá até a grande cidade de Nínive e anuncie a minha mensagem ao povo.	1.4	Low-angle view of Jonah standing in a shaft of warm golden light looking upward, no human figure for God, glowing sky and drifting dust motes, reverent cinematic composition	The light shaft intensifies while Jonah listens with a tense face, dust motes swirl slowly in the beam	intensifying golden light shaft and floating luminous dust	deep warm resonant presence, soft wind, distant thunder roll	cut
06	chamado	over-shoulder	jonas	narrator	Nínive era uma cidade enorme e perigosa. Jonas ficou com medo. E também ficou com raiva no coração.	0.6	Over-shoulder shot of Jonah staring toward a distant dark city silhouette on the horizon, stormy amber sky, his shoulders tense, dusty road stretching into depth	Camera holds over Jonah's shoulder as the distant city silhouette shimmers in heat, his shoulders tighten and he turns away	-	distant city murmur, uneasy wind, satchel strap creak	cut
07	chamado	close-up	jonas	jonas	Nínive? Eu não quero ir até lá. Eles não merecem uma chance de Deus!	0.7	Close-up of Jonah looking away with stubborn worry under olive trees, soft stylized animated face, warm golden light, Disney Pixar character look.	Jonah shakes his head once, clenches his jaw, then looks aside with conflicted stubbornness	-	sharp breath, cloth rustle, tense silence under soft wind	smash-cut
08	fuga	wide	jonas	narrator	Então Jonas fez uma escolha errada. Em vez de subir para Nínive, ele desceu correndo para o porto.	0.9	Wide shot of a busy ancient port at Joppa, wooden ships and ropes in foreground, Jonah hurrying down stone steps toward the docks, merchants and crates in midground, sea glittering beyond	Jonah rushes down the stone steps toward the docks, camera tracks with him through ropes and crates, harbor activity moves naturally around him	-	harbor bustle, gulls, wooden crates, footsteps on stone	cut
09	fuga	tracking	jonas,capitao	jonas	Tem um barco saindo daqui? Eu preciso ir bem longe. O mais longe possível desta terra.	0.6	Tracking medium shot of Jonah speaking urgently to a weathered ship captain beside a wooden vessel, ropes and sails framing them, busy dock workers blurred behind, clear character separation	Jonah approaches the captain and speaks quickly, the captain turns with a raised brow, ropes sway and water laps against the hull	-	creaking dock wood, water lapping, distant sailors calling	cut
10	fuga	medium	capitao,jonas	capitao	Tem sim. Este barco vai para Társis. Mas o mar hoje parece inquieto e pesado.	0.7	Medium two-shot of the captain gesturing toward a large wooden ship while Jonah looks eager and nervous, sails half-raised, cloudy sky reflecting on the water, rich dockside detail	The captain points to the ship, Jonah nods quickly and climbs aboard, sails flutter and the deck shifts underfoot	-	sail canvas flap, rope pull, hull creak, soft wave slap	cut
