id	refs	voice	narration	image_prompt	motion_prompt
01	maria,jose	narrator	[warm] Há muito tempo, na pequena cidade de Nazaré, vivia uma jovem chamada Maria. Ela ia se casar com José, um carpinteiro de bom coração, da família do rei Davi.	Young Mary (from reference image 1) smiling gently while walking through the small ancient village of Nazareth carrying a clay water jar, Joseph the carpenter (from reference image 2) working with wood at his open workshop nearby, stone houses, olive trees, warm golden afternoon light, peaceful village mood	Mary walks gently through the village as Joseph works the wood, doves fly by, warm light shifts softly, slow establishing push-in
02	maria,anjo	narrator	[awe] Um dia, Deus enviou o anjo Gabriel até Maria. O anjo entrou onde ela estava e disse: "Alegre-se! O Senhor está com você." Maria ficou assustada, sem entender aquela saudação.	The angel Gabriel (from reference image 2) appearing in radiant golden-white light inside the simple stone home of young Mary (from reference image 1), Mary turning startled with wide amazed eyes, divine light rays filling the humble room, wondrous holy mood	The angel glows with soft divine light as Mary turns startled, light rays shimmer through the room, her veil sways gently, slow awe-filled motion
03	anjo,maria	anjo	[calm] Não tenha medo, Maria. Você encontrou graça diante de Deus. Você terá um filho e dará a ele o nome de Jesus. Ele será grande, será chamado Filho do Altíssimo, e o seu Reino não terá fim!	The angel Gabriel (from reference image 1) speaking gently and solemnly to young Mary (from reference image 2) who listens with wonder, the angel's hand raised in a gentle blessing, soft golden divine light, humble stone room, holy tender mood	The angel speaks solemnly with a gentle blessing gesture while Mary listens in wonder, divine light pulses softly, slow reverent motion
04	maria,anjo	narrator	[awe] Maria perguntou como isso poderia acontecer. O anjo explicou que o poder de Deus viria sobre ela, e que o menino seria o santo Filho de Deus. E completou: "Para Deus, nada é impossível!"	Young Mary (from reference image 1) asking a sincere question with her hand near her heart while the angel Gabriel (from reference image 2) points gently upward, warm divine light from above, humble stone room, wondrous mood	Mary gestures a sincere question and the angel points gently upward, the divine light from above brightens softly, slow wondrous motion
05	maria	maria	[warm] Eu sou a serva do Senhor. Que aconteça comigo conforme a tua palavra.	Young Mary (from the reference) with her head gently bowed and hands over her heart in humble faithful acceptance, bathed in soft warm golden divine light, peaceful humble stone room, serene holy mood	Mary bows her head gently with hands over her heart, warm divine light glows around her, dust motes drift in the light, slow serene motion
06	jose	narrator	[softly] José era um homem justo. Quando soube que Maria esperava um bebê, ele ficou pensando muito em tudo aquilo.	Joseph the carpenter (from the reference) sitting thoughtfully at his wooden workbench at dusk, chin resting on his hand, a pensive gentle expression, carpentry tools and wood shavings around him, warm oil lamp light, contemplative quiet mood	Joseph sits deep in thought at his workbench, the oil lamp flame flickers gently, wood shavings stir, slow contemplative push-in
07	jose,anjo	anjo	[calm] José, filho de Davi, não tenha medo de receber Maria como sua esposa. O menino que vai nascer vem do Espírito Santo. Você dará a ele o nome de Jesus, porque ele salvará o seu povo dos seus pecados.	Joseph (from reference image 1) asleep on a simple bed while the angel of the Lord (from reference image 2) appears above him inside a glowing dream vision of soft golden light, dreamy radiant atmosphere, quiet night interior, holy mysterious mood	The angel glows within the dream vision above sleeping Joseph, divine light shimmers and swirls gently, slow mysterious holy motion
08	jose,maria	narrator	[warm] Quando acordou, José fez exatamente o que o anjo do Senhor tinha mandado: recebeu Maria como sua esposa.	Joseph (from reference image 1) warmly and respectfully welcoming Mary (from reference image 2), taking her hands with a kind protective smile, outside his simple stone home in Nazareth, warm morning light, olive trees, tender faithful mood	Joseph takes Mary's hands warmly and they smile at each other, morning light glows, olive leaves sway gently, tender slow motion
09	jose,maria	narrator	[calm] Naqueles dias, o imperador mandou contar todo o povo, cada um na cidade da sua família. Por isso, José partiu com Maria, de Nazaré até Belém, a cidade do rei Davi.	Joseph (from reference image 1) walking and leading a gentle donkey carrying Mary (from reference image 2) along a winding dusty road through rolling hills at golden sunset, a few other travelers in the far distance, epic gentle journey mood	Joseph leads the donkey carrying Mary along the winding road, dust drifts, golden sunset light glows, slow epic traveling motion
10	jose,maria	narrator	[softly] A viagem foi longa. E, quando eles chegaram a Belém, chegou também a hora de o bebê nascer.	Joseph (from reference image 1) and Mary (from reference image 2) arriving tired at the gates of the small crowded ancient town of Bethlehem at dusk, warm lamplight in the windows, the first stars appearing in a deep blue sky, expectant hopeful mood	Joseph and Mary walk slowly toward the town gates as lamps glow warmly and the first stars begin to appear, slow tired hopeful motion
11	jose,maria	narrator	[softly] Mas não havia lugar para eles na hospedaria.	Joseph (from reference image 1) standing with gentle sadness beside Mary (from reference image 2) before the closed wooden door of a full inn at night, warm lamplight through a small window, deep blue starry night, tender family-friendly mood	Joseph lowers his head gently before the closed inn door and turns to Mary with care, the lamplight flickers, slow gentle motion
12	maria,jose	narrator	[awe] E ali, num lugar simples onde ficavam os animais, nasceu Jesus, o filho de Maria! Ela o enrolou em faixas de pano e o deitou numa manjedoura.	Mary (from reference image 1) lovingly laying her newborn baby wrapped snugly in cream swaddling cloths into a wooden manger filled with soft hay, Joseph (from reference image 2) watching in tender awe, a humble stable with a gentle ox and donkey, warm golden light radiating softly around the baby, holy night mood	Mary gently lays the swaddled baby in the manger as Joseph watches in awe, the warm golden light glows brighter, hay dust drifts softly, slow holy tender motion
13	pastores	narrator	[calm] Naquela mesma noite, nos campos perto de Belém, havia pastores cuidando dos seus rebanhos de ovelhas.	The shepherds (from the reference) sitting around a small campfire watching over their flock of fluffy sheep on a dark peaceful hillside at night, deep blue starry sky, the distant lights of Bethlehem, calm quiet night mood	The campfire flickers as the shepherds watch their sheep, the sheep graze slowly, stars twinkle in the night sky, calm slow motion
14	pastores,anjo	narrator	[awe] De repente, um anjo do Senhor apareceu, e a glória do Senhor brilhou ao redor deles. Os pastores ficaram com muito medo.	The angel of the Lord (from reference image 2) appearing in the night sky in brilliant radiant glory above the startled shepherds (from reference image 1) who shield their eyes and step back in fear, their sheep stirring, dramatic radiant golden-white light flooding the dark hillside, awe-inspiring holy mood	The angel blazes with glory light in the sky as the shepherds step back shielding their eyes, light floods the hillside, sheep stir, dramatic awe-filled motion
15	anjo,pastores	anjo	[happy] Não tenham medo! Eu trago uma boa notícia de grande alegria para todo o povo: hoje, na cidade de Davi, nasceu o Salvador, que é Cristo, o Senhor! Vocês vão encontrar o bebê enrolado em faixas de pano, deitado numa manjedoura.	The angel (from reference image 1) speaking warmly with open reassuring arms to the shepherds (from reference image 2) who look up with growing wonder and joy, radiant but gentle golden light, starry night hillside, joyful holy announcement mood	The angel opens his arms warmly announcing the good news as the shepherds look up with growing joy, gentle light rays shimmer, slow joyful motion
16	-	narrator	[awe] Então, junto com o anjo, apareceu uma multidão de anjos, louvando a Deus e dizendo: "Glória a Deus nas alturas, e paz na terra entre as pessoas a quem ele quer bem!"	A magnificent multitude of glowing angels in radiant white and gold robes filling the entire night sky in luminous ranks of golden-white light above a dark hillside, singing in joyful praise, tiny shepherds below gazing up in awe, epic breathtaking heavenly glory mood	The multitude of angels glows and sways in luminous praise across the sky, waves of golden light ripple, the shepherds gaze up below, epic majestic slow motion
17	pastores	pastores	[happy] Vamos até Belém! Vamos ver o que aconteceu, o que o Senhor nos anunciou!	The shepherds (from the reference) excitedly gathering their staffs and pointing toward the distant warm lights of Bethlehem, joyful eager faces, one carrying a small lamb in his arms, one bright star shining over the town, starry night, excited joyful mood	The shepherds point eagerly toward Bethlehem and hurry forward with joyful energy, the lamb nuzzles close, stars twinkle, brisk joyful motion
18	pastores,maria,jose	narrator	[warm] Os pastores foram depressa. E encontraram Maria, José e o bebê, deitado na manjedoura, exatamente como o anjo tinha dito.	The shepherds (from reference image 1) kneeling reverently at the entrance of the humble stable, gazing in wonder at Mary (from reference image 2) and Joseph (from reference image 3) beside the swaddled newborn baby glowing softly in the wooden manger, warm golden holy light, tender adoration mood	The shepherds kneel slowly in reverent wonder before the manger as Mary and Joseph smile warmly, the soft golden light glows, slow tender adoring motion
19	pastores	narrator	[happy] Depois, os pastores contaram a todos o que o anjo tinha falado sobre aquele menino. E todos os que ouviam ficavam maravilhados.	The shepherds (from the reference) joyfully telling amazed townspeople of Bethlehem about the angel's message, gesturing toward the sky with excited faces, villagers listening with wide amazed eyes, warm lamplit ancient stone street at night, joyful sharing mood	The shepherds gesture excitedly toward the sky telling the news as the villagers react amazed, lamplight flickers warmly, lively joyful motion
20	maria	narrator	[softly] Maria guardava todas essas palavras no coração, e pensava nelas com muito carinho.	Mary (from the reference) sitting peacefully beside the wooden manger, gazing at her swaddled newborn baby with deep tender love, her hands held over her heart, soft warm golden light in the quiet humble stable, intimate serene holy mood	Mary gazes lovingly at the baby with her hands over her heart, the warm light breathes softly, hay drifts gently, very slow intimate motion
21	pastores	narrator	[warm] E os pastores voltaram para os campos, glorificando e louvando a Deus por tudo o que tinham visto e ouvido.	The shepherds (from the reference) walking back across the starry hillside toward their flock with arms raised in joyful praise, happy grateful faces looking up to the sky, the first soft light of dawn on the horizon, grateful worshipful mood	The shepherds walk back praising with arms raised joyfully, sheep gather around them, dawn light grows softly on the horizon, warm worshipful motion
22	magos	narrator	[awe] Tempos depois, chegaram a Jerusalém uns sábios vindos de muito longe, do oriente, procurando por um rei que tinha acabado de nascer.	The wise men from the east (from the reference) arriving with their richly loaded camels at the grand stone gates of ancient Jerusalem, elegant flowing robes, dignified curious expressions, golden late afternoon light on the stone walls, epic arrival mood	The wise men ride slowly through the grand gates with their camels swaying, robes flowing in the breeze, epic slow arrival motion
23	magos	magos	[curious] Onde está o rei dos judeus que acaba de nascer? Nós vimos a sua estrela no oriente, e viemos adorá-lo.	The wise men (from the reference) asking the people of Jerusalem with earnest dignified gestures, the lead wise man pointing up toward a bright star in the deep evening sky, townspeople looking at each other intrigued, ancient stone street at dusk, mysterious expectant mood	The lead wise man points up toward the bright star while asking earnestly, the townspeople murmur intrigued, torchlight flickers, slow expectant motion
24	magos	narrator	[awe] E a estrela que eles tinham visto ia adiante deles, até parar bem em cima do lugar onde estava o menino. Quando viram a estrela parada ali, eles se encheram de alegria!	The wise men (from the reference) traveling by night following a brilliant radiant star that shines ahead of them and stops over a small humble house in Bethlehem, gentle beams of starlight touching the house, deep blue starry night sky, joyful wonder mood	The brilliant star glides ahead and stops over the small house, its light beams down gently, the wise men raise their arms in joy, slow wondrous motion
25	magos,maria	narrator	[warm] Ao entrar na casa, eles viram o menino com Maria, sua mãe. Então se ajoelharam e o adoraram, e abriram os seus tesouros: deram a ele ouro, incenso e mirra.	The wise men (from reference image 1) kneeling in reverent adoration inside a simple warm house, offering ornate golden chests of gold, frankincense and myrrh to the little child held lovingly by Mary (from reference image 2), warm candlelight and a soft holy glow, majestic humble worship mood	The wise men kneel and present their ornate gifts as Mary holds the child gently, candlelight glows warmly, robes settle softly, slow reverent motion
26	magos	narrator	[calm] Avisados por Deus em um sonho, os sábios voltaram para a sua terra por outro caminho.	The wise men (from the reference) traveling away on their camels along a different winding road through moonlit dunes and gentle hills at night, a soft protective divine glow in the sky behind them, peaceful resolute mood	The camels walk steadily along the moonlit road as the wise men look ahead calmly, robes sway, soft night wind drifts sand, slow peaceful motion
27	maria,jose	narrator	[warm] E o que aprendemos com essa história? Que Deus cumpre as suas promessas: ele enviou Jesus, o Salvador, exatamente como tinha prometido. O nascimento de Jesus é a boa notícia de grande alegria para todo o povo. Glória a Deus nas alturas!	A warm glowing portrait of Mary (from reference image 1) and Joseph (from reference image 2) smiling peacefully beside the manger where the swaddled baby lies in soft radiant golden light, the bright star shining above the humble stable, gentle heavenly light rays, inspiring heartwarming finale mood	The golden light around the manger shimmers gently as Mary and Joseph smile in peace, the star above shines brightly, slow inspiring heartwarming push-in
