id	refs	voice	narration	image_prompt	motion_prompt
01	jose,jaco	narrator	[warm] Numa terra distante vivia um homem chamado Jacó, que tinha doze filhos. E havia um filho que ele amava de um jeito muito especial: José.	An elderly father Jacob (from reference image 2) lovingly placing his hand on the shoulder of his son Joseph (the young man in the colorful coat from reference image 1), warm tent home and green pastures with sheep in the background, golden light, tender family mood	Jacob smiles warmly and pats Joseph's shoulder, sheep graze in the background, warm light shifts, gentle tender push-in
02	jose	narrator	[warm] Jacó deu a José uma túnica linda, cheia de cores. E José a vestia com muita alegria.	Joseph (from the reference) proudly and joyfully wearing his beautiful ornate coat of many bright colors, twirling happily in the sunny pasture, warm golden light, cheerful mood	Joseph happily shows off his colorful coat and turns around smiling, the coat flows, warm light sparkles, gentle joyful motion
03	jose,irmaos	narrator	[softly] Quando os irmãos viram que o pai amava mais a José, ficaram com inveja, e não conseguiam mais falar com ele com carinho.	Joseph (from reference image 1) in his colorful coat standing apart while his older brothers (from reference image 2) look at him with jealous envious frowns, arms crossed, cooler lighting on the brothers, warm on Joseph, pasture setting	The brothers frown and cross their arms with envy watching Joseph, shadows shift, tense but gentle motion
04	jose,irmaos	jose	[happy] Ouçam só o sonho que eu tive! No campo, os nossos feixes de trigo se levantavam e se curvavam diante do meu feixe!	Joseph (from reference image 1) excitedly telling his dream to his brothers (from reference image 2), a glowing dreamy vision of wheat sheaves bowing floating above them, the brothers annoyed, warm-cool contrast, field setting	Joseph gestures excitedly as the glowing dream of bowing wheat sheaves shimmers above, the brothers scowl, gentle animated motion
05	jose	narrator	[softly] E José teve outro sonho: o sol, a lua e onze estrelas se curvavam diante dele. Os irmãos ficaram ainda mais bravos com ele.	Joseph (from the reference) looking up at a beautiful night sky where the sun, the moon and eleven bright stars gently bow toward him, dreamy magical starlight, wondrous mood	The sun, moon and eleven stars gently glow and bow in the night sky as Joseph gazes up in wonder, soft twinkling motion
06	jose,jaco	narrator	[calm] Um dia, Jacó pediu a José que fosse levar comida aos irmãos, que cuidavam das ovelhas bem longe dali.	Elderly Jacob (from reference image 2) sending Joseph (from reference image 1, in his colorful coat) off on a journey, pointing toward distant hills, Joseph carrying a bag of food, warm morning light, caring farewell mood	Jacob points to the distant hills and Joseph nods and sets off with his bag, warm light, gentle motion, slow push-in
07	jose,irmaos	narrator	[softly] Quando os irmãos viram José chegando de longe, com a túnica colorida, começaram a planejar uma coisa muito ruim.	The older brothers (from reference image 2) huddling together and scheming with frowns as they spot Joseph (from reference image 1) in his colorful coat approaching from far away across the field, cool tense lighting, cloudy sky	The brothers huddle and whisper a scheme, glancing toward distant Joseph approaching, shadows deepen, slow tense motion
08	jose,irmaos	narrator	[sad] Eles tiraram de José a sua túnica colorida e o colocaram dentro de um poço fundo e vazio.	The brothers (from reference image 2) lowering Joseph (from reference image 1, now without his coat, in a plain tunic) down into a deep empty dry stone well, the colorful coat held aside, dramatic but gentle family-friendly mood, dusty desert field	The brothers lower Joseph into the deep dry well, dust drifts, the coat lies aside, slow dramatic gentle motion
09	jose,irmaos	narrator	[softly] Nisso passaram uns mercadores com seus camelos. Os irmãos tiraram José do poço e o venderam para eles por vinte moedas de prata.	The brothers (from reference image 2) handing Joseph (from reference image 1) over to a caravan of merchants with camels while coins of silver change hands, a desert road, warm-cool contrast, solemn family-friendly mood	The merchants lead Joseph away with the camel caravan as silver coins are handed over, dust drifts along the desert road, slow solemn motion
10	irmaos,jaco	narrator	[sad] Depois, os irmãos pegaram a túnica, sujaram com o sangue de um bode, e levaram até o pai, para que ele pensasse que José tinha morrido.	The brothers (from reference image 1) sadly and guiltily showing the torn colorful coat stained with blood to their elderly father Jacob (from reference image 2) in the tent, Jacob shocked, dim sorrowful lighting, emotional family-friendly mood	The brothers hold up the stained coat as Jacob's face fills with shock and grief, dim light, slow heavy sorrowful motion
